MDL_Raw,SPR_Raw,HRPU_Raw,SDC_Raw,LTK_Raw,X2MR_Finish,age,hgt_in,wt_lb,BMI,Sex,IOCT_time
260,8.9,40,1.65,13,14.666666666666666,21,66,184,29.27524847,Male,3.75
240,9.6,37,1.4833333333333334,14,11.583333333333334,21,70,163,23.4369671,Male,2.433333333333333
340,11.7,33,1.6333333333333333,20,14.85,22,70,180,25.59374321,Male,2.7
260,9.7,22,1.5,11,13.183333333333334,21,71,168,23.4369671,Male,2.566666666666667
160,6.5,20,1.8333333333333333,0,14.116666666666667,22,68,172,25.30508584,Female,4.616666666666666
260,8.7,40,1.7166666666666666,20,16.85,22,73,202,26.77386808,Male,2.7
340,12.4,50,1.3833333333333333,16,14.283333333333333,22,72,188,24.85547201,Male,2.5833333333333335
260,11.6,44,1.4666666666666666,11,15.133333333333333,22,68,171,25.75009082,Male,2.566666666666667
240,9.5,32,1.7,9,14.633333333333333,22,69,163,24.53115161,Male,2.933333333333333
300,12.2,46,1.5833333333333333,16,14.816666666666666,22,72,200,27.18159196,Male,2.683333333333333
150,5.6,2,2.0166666666666666,0,14.483333333333333,21,73,188,25.55069644,Female,2.9166666666666665
200,6.9,31,1.6166666666666667,15,13.533333333333333,21,66,166,26.36389779,Male,2.5833333333333335
300,9.3,27,1.6166666666666667,10,16.483333333333334,22,69,182,25.88131336,Male,2.8
220,8.8,28,1.6666666666666667,5,13.833333333333334,22,74,194,25.25210189,Male,2.7333333333333334
300,9,57,1.5833333333333333,20,12.533333333333333,22,68,161,25.26888952,Male,2.5833333333333335
240,9.6,29,2.033333333333333,3,17.816666666666666,21,72,221,29.49202728,Male,3.35
300,8.7,41,1.7,18,14.016666666666667,22,72,202,28.09242602,Male,3.15
340,11.6,40,1.45,15,18,22,73,199,26.3661442,Male,2.8833333333333333
160,5.6,10,1.8666666666666667,4,17.366666666666667,21,65,140,23.17917492,Female,3.2666666666666666
340,9.1,47,1.5833333333333333,20,13.383333333333333,22,76,183,22.92125796,Male,2.05
260,13.7,25,1.4166666666666667,18,14.95,21,81,225,24.65914023,Male,2.6333333333333333
240,7.6,41,1.6666666666666667,11,14.033333333333333,22,69,157,22.57425665,Male,2.466666666666667
340,9.5,37,1.4833333333333334,10,15.25,22,70,182,24.87786981,Male,2.783333333333333
200,5.7,32,2.033333333333333,21,15.133333333333333,21,61,125,22.54403336,Female,3.033333333333333
160,6.6,25,2.25,3,15.966666666666667,22,69,134,19.23778456,Female,3.2666666666666666
240,9.7,40,1.7833333333333334,15,13.433333333333334,21,66,151,24.42299734,Male,2.6166666666666667
160,6,13,2.533333333333333,6,16.566666666666666,21,70,127,17.74994082,Female,4.383333333333334
300,8.7,33,1.4666666666666666,14,16.2,23,72,189,24.45884214,Male,3.05
150,3.6,18,2.15,0,16.6,22,67,190,29.34957975,Female,4.383333333333334
300,10.7,51,1.4,18,14.7,23,68,174,27.15228501,Male,2.7
260,7.7,36,1.7666666666666666,17,13.833333333333334,26,66,165,25.87867268,Female,2.0833333333333335
240,10.1,48,1.6166666666666667,13,15.3,26,68,165,25.89668802,Male,3.2
300,11.1,36,1.4666666666666666,11,14.566666666666666,22,74,227,27.93136899,Male,2.716666666666667
300,10,40,1.8166666666666667,10,12.466666666666667,24,71,166,23.58075217,Male,2.566666666666667
240,9.8,34,1.6666666666666667,14,14.016666666666667,21,75,189,23.93091977,Male,2.7333333333333334
200,9.1,40,1.5666666666666667,7,15.35,21,72,197,26.3661442,Male,2.55
300,11.6,46,1.5,19,16.416666666666668,21,73,209,28.26885564,Male,2.816666666666667
260,11.9,41,1.2833333333333334,13,15.816666666666666,22,75,206,24.51764536,Male,2.5833333333333335
240,8.3,41,1.5666666666666667,8,13.866666666666667,24,74,219,28.82177074,Male,2.75
180,6.7,13,1.9333333333333333,5,14.416666666666666,22,65,138,23.01241827,Female,3.3833333333333333
300,8.4,55,1.6166666666666667,18,11.75,21,71,171,24.29967754,Male,2.466666666666667
340,11,43,1.3666666666666667,17,14.966666666666667,24,72,217,28.55735082,Male,2.65
340,10.2,37,1.4666666666666666,15,15.533333333333333,22,70,194,27.8943044,Male,2.783333333333333
240,9.5,21,1.5166666666666666,0,15.4,22,67,210,31.84478687,Male,2.9166666666666665
260,9.9,47,1.6333333333333333,15,15.083333333333334,22,68,184,27.42613224,Male,2.9833333333333334
220,8.1,36,1.8333333333333333,11,13.45,23,69,181,27.57849964,Male,2.8
300,9.3,47,1.5833333333333333,13,15.016666666666667,23,69,175,25.16238799,Male,2.6333333333333333
280,11.6,35,1.5666666666666667,13,15.2,28,73,206,26.57420146,Male,3.1166666666666667
240,10.6,36,1.65,10,17.566666666666666,24,68,175,25.15710288,Male,2.966666666666667
200,7.7,16,1.6333333333333333,7,15.616666666666667,22,69,146,22.24564059,Male,2.85
300,10.2,28,1.65,9,16.483333333333334,22,72,186,25.57668638,Male,3.033333333333333
300,12.3,39,1.4833333333333334,17,14.366666666666667,22,72,186,24.19442223,Male,2.7333333333333334
150,5.3,28,2.3666666666666667,2,16.4,22,63,120,21.07775477,Female,3.566666666666667
340,12.5,46,1.45,8,13.683333333333334,23,74,232,30.01166036,Male,3.2
240,9.5,31,2.0166666666666666,11,18.016666666666666,22,71,199,27.045684,Male,2.933333333333333
340,12.7,31,1.4833333333333334,11,14.35,21,73,195,25.78094172,Male,2.6166666666666667
180,6.2,3,2.1,0,17.033333333333335,23,65,164,26.84782131,Female,4.583333333333333
300,8.8,47,1.55,14,16.95,22,66,174,27.33434802,Male,2.2666666666666666
300,9,36,1.5666666666666667,10,14.05,23,72,181,25.29715975,Male,2.6166666666666667
240,7,42,1.8333333333333333,10,14.383333333333333,21,64,158,26.34755135,Male,2.65
300,10.9,45,1.55,12,15.466666666666667,22,67,214,31.84478687,Male,2.7
220,8.1,30,1.65,5,16.116666666666667,22,67,162,24.68351901,Male,2.5833333333333335
300,10,26,1.5666666666666667,12,12.616666666666667,22,70,201,27.53337277,Male,2.566666666666667
300,11,36,1.4833333333333334,12,15.1,24,70,188,26.88780888,Male,2.966666666666667
220,10,43,1.4833333333333334,11,14.533333333333333,23,72,190,26.55502958,Male,2.9166666666666665
